
| パターンID | リソース | リソース分類 | 面区分 | 改修パターン（増/削/改） | 変更内容の詳細 | 改修時の考慮事項 | 無停止リリース可否 | 理由・前提条件 | ステータス |
|---|---|---|---|---|---|---|---|---|
| R-010 | Broker_cmpf_{env}{channel} | ActiveMQ | 共通 | 増（新設） | 新規チャネル種別追加時のブローカー新設（例：新通知手段追加） | 新設ブローカーに対応するConnectionFactory Bean（.xml）およびapplication.yml側の接続情報（envConfig）追加が前提。既存ブローカー・キューへの影響なし | 可 | 新規リソース追加のため既存の送受信処理に影響を与えない。ただしProducer（splitter）/Consumer（channeladapter）側の対応実装が同時に必要 | 確定 |
| R-011 | Broker_cmpf{env}{channel} | ActiveMQ | 共通 | 削（削除） | 使用しなくなったチャネルのブローカー削除 | 削除前に当該ブローカー上の全キュー（新旧バージョンのプレフィックスを含む全て）のメッセージが完全に排出済みであることを確認する必要がある。ブローカーは共通リソースのため削除は両面の処理系に影響する | 条件付き可 | キュー内メッセージ残存時に削除するとメッセージ損失が発生するため、排出確認完了が前提条件 | 確定 |
| R-012 | Broker_cmpf{env}{channel} | ActiveMQ | 共通 | 改（インスタンスタイプ/スペック変更） | ブローカーのインスタンスサイズ変更（スペックアップ/ダウン） | ブローカーはA/B面共通のため、変更は両面の送受信処理に同時に影響する。蓝绿切替機構の対象外であり、Multi-AZ構成であればAMQ自体のフェイルオーバーに依存する | 要確認 | ダウンタイムの有無はAMQ側のHA構成（Multi-AZフェイルオーバー等）に依存するため、AMQ基盤側の構成確認が前提 | 検討中 |
| R-013 | Broker_cmpf{env}{channel} | ActiveMQ | 共通 | 改（エンジンバージョンアップ） | ActiveMQエンジンのメジャー/マイナーバージョンアップ | R-012と同様に両面同時影響。加えてメジャーバージョンアップの場合はプロトコル・メッセージフォーマット互換性の確認も必要 | 要確認 | メジャーバージョンアップはR-009（RDSメジャーバージョンアップ）と同様に対象外候補として検討すべき。マイナーバージョンアップはAMQ側HA機能で対応可能な場合あり | 検討中 |
| R-014 | Broker_cmpf{env}{channel} | ActiveMQ | 共通 | 改（認証情報変更） | ブローカーのuser/password変更（envConfig側の値、およびAMQブローカー本体の認証設定） | 認証情報はenvConfig経由でapplication.ymlに注入され、.xmlのConnectionFactory Beanで使用される。ブローカー本体の認証設定変更と、アプリ側の環境変数更新のタイミングが同期していないと、新パスワード反映前のコンテナが認証エラーになる可能性がある | 条件付き可 | ブローカー側で新旧認証情報を一時的に両方受け入れ可能であれば無停止で切替可能。受け入れ不可の場合は事前にenvConfig側を更新し、コンテナ再起動後にブローカー側を切替える順序が前提 | 検討中 |
| R-015 | Broker_cmpf{env}_{channel} | ActiveMQ | 共通 | 改（ブローカー共通設定変更） | TTL、DLQ設定、ポリシー等のブローカーレベル共通設定変更 | 設定はブローカー単位（channel単位）で共通のため、変更時点で存在する全バージョンのキュー（新旧両方のプレフィックスを持つキュー）に同時適用される | 要確認 | 即時適用される設定（TTL短縮等）は処理中メッセージへの意図しない影響（早期破棄等）を事前確認する必要がある | 検討中 |
| R-016 | CDKパイプライン（Queueプレフィックス注入ロジック） | ActiveMQ（CDK/Pipeline） | ― | 改（注入ロジック変更） | CMPF_ACTIVEMQ_QUEUENAMEPREFIXの生成ロジック自体の変更（ENV.ENV.{applicationVersion}.の形式変更等） | このロジックはCDKがpipeline実行時にコンテナ環境変数へ注入するもので、AMQリソース自体には変更を加えない。ただしロジックに不具合があると、新バージョンが誤って旧バージョンのキュー名（プレフィックス）と衝突し、新旧の消費者が同一キューを競合消費するリスクがある | 要確認 | 通常時は各バージョンが独立したプレフィックスを持つため無停止で問題ないが、ロジック変更自体は影響範囲が広く（全チャネル・全バージョンの命名規則に影響）、変更後の初回デプロイでの検証が必須 | 検討中 |
| R-017 | Queue（channel.mail / channel.sms / channel.fcm 本体） | ActiveMQ | ― | 増/削（対象外） | バージョン切替に伴うキューの生成・非使用化 | CDKによりバージョン単位でプレフィックスが動的注入される設計のため、Queue自体の明示的な作成・削除操作はCDK/運用者側で発生しない | 対象外 | Queueはアプリケーション実行時にプレフィックス+固定チャネル名で自動的に決定される仕組みであり、IaC管理対象・改修パターンの対象外 | 確定 |



































